Part,Subsection,Section,Content
General,Short title and commencement,Section 1,(1) This Act may be cited as the Limited Liability Partnerships (Amendment) Act 2024. (2) This Act comes into operation on a date to be appointed by the Minister by notification in the Gazette and the Minister may appoint different dates for the coming into operation of different provisions of this Act. Amendment of section 10
General,Amendment of section 10,Section 2,"The Limited Liability Partnerships Act 2012 (Act 743), which is referred to as the  principal Act  in this Act, is amended in subsection 10(2)-(a) by deleting the word  and  at the end of paragraph (e); and (b) by inserting after paragraph (e) the following paragraphs: (ea) beneficial ownership as specified under subsection 20C(1); (eb) the amount of capital contribution by each partner; and . Amendment of section 19"
PART IIIA: BENEFICIAL OWNERSHIP,,Section 3,Subsection 19(1) of the principal Act is amended-(a) by deleting the word  and  at the end of paragraph (g); and (b) by inserting after paragraph (g) the following paragraph: (ga) register of beneficial owners; and . the following part: Beneficial owner of limited liability partnership
PART IIIA: BENEFICIAL OWNERSHIP,Beneficial owner of limited liability partnership,Section 20A,(1) A person is a beneficial owner of a limited liability partnership if he is a natural person who ultimately owns or controls over a limited liability partnership and includes a person who exercises ultimate effective control over a limited liability partnership. (2) The Registrar may issue guidelines for the purpose of identifying a beneficial owner of a limited liability partnership. Register of beneficial owners of limited liability partnership
PART IIIA: BENEFICIAL OWNERSHIP,Register of beneficial owners of limited liability partnership,Section 20B,"(1) Every limited liability partnership shall keep a register of beneficial owners of the limited liability partnership and record in the register-(a) the full name, addresses, nationality, identification and usual place of residence of a person who is a beneficial owner of the limited liability partnership; (b) the date the person becomes a beneficial owner of the limited liability partnership; (c) the date the person ceases to be a beneficial owner of the limited liability partnership; and (d) such other information as the Registrar may require. (2) The register of beneficial owners of the limited liability partnership shall be kept at the registered office of the limited liability partnership or any other place in Malaysia as notified to the Registrar. (3) The limited liability partnership shall lodge with the Registrar a notice on any change to the particulars in the register of beneficial owners of the limited liability partnership. (4) Any notice required under subsection (3) shall be lodged within fourteen days from the date on which the change is recorded in the register of beneficial owners of the limited liability partnership. (5) The limited liability partnership shall retain the information of a person who has been recorded in the register of beneficial owners of the limited liability partnership as a beneficial owner but subsequently ceases to be a beneficial owner of the limited liability partnership for seven years from the date the person ceases to be a beneficial owner. (6) The limited liability partnership and every partner and compliance officer who contravene this section commit an offence and shall, on conviction, be liable to a fine not exceeding twenty thousand ringgit and, in the case of a continuing offence, to a further fine not exceeding five hundred ringgit for each day during which the offence continues after conviction. (7) The Registrar shall determine the form, manner and extent of the information to be kept under subsection (1) and lodged under subsection (3). (8) The register of beneficial owners of a limited liability partnership shall be prima facie evidence of any matter inserted in the register under this Act. (9) The Minister may, in relation to access to the register of beneficial owners of the limited liability partnership kept at the registered office of the limited liability partnership or beneficial ownership information lodged with the Registrar, prescribe-(a) any person or class of persons who may access the register of beneficial owners of the limited liability partnership or the beneficial ownership information; (b) the manner and terms and conditions for accessing the register of beneficial owners of the limited liability partnership or the beneficial ownership information; and (c) the fee for the supply of the beneficial ownership information. (10) In this section,  identification  means, in the case of any person issued with an identity card issued under the National Registration Act 1959 (Act 78), the number of the identity card, and in the case of a person not issued with an identity card, particulars of passport or such other similar evidence of identification as is available. Power of limited liability partnership to require disclosure of beneficial owner of limited liability partnership"
PART IIIA: BENEFICIAL OWNERSHIP,of beneficial owner of limited liability partnership,Section 20C,"(1) A limited liability partnership shall, by notice in writing, require any partner of the limited liability partnership within such reasonable time and manner as specified in the notice-(a) to inform the limited liability partnership whether the partner is a beneficial owner of the limited liability partnership or if the partner is not a beneficial owner of the limited liability partnership, as far as it is possible to do so, to indicate the persons by name and by other particulars sufficient to enable those persons to be identified as beneficial owners of the limited liability partnership; and (b) to provide such other information as specified under subsection 20B(1). (2) Where a limited liability partnership knows or has reasonable grounds to believe that any person is a beneficial owner of the limited liability partnership, the limited liability partnership shall by notice in writing, require such person within such reasonable time and manner as specified in the notice-(a) to state whether he is a beneficial owner of the limited liability partnership or if he is not a beneficial owner of the limited liability partnership, to state whether he knows or has reasonable grounds to believe that any other person is a beneficial owner of the limited liability partnership and to give such particulars of that person that are within his knowledge; and (b) to provide such other information as required under subsection 20B(1). (3) Where a limited liability partnership knows or has reasonable grounds to believe that any partner or person knows the identity of a person who is a beneficial owner of the limited liability partnership, the limited liability partnership shall by notice in writing require the partner or person within such reasonable time and manner as specified in the notice-(a) to state whether he knows, or has reasonable grounds to believe that any other person is a beneficial owner of the limited liability partnership and gives such particulars of that person that are within his knowledge; and (b) to provide such other information as required under subsection 20B(1). (4) Whenever a limited liability partnership receives information from the person to whom the notice is given under subsection (1), (2) or (3), the limited liability partnership shall, within fourteen days from the date on which the information is received, record in the register of beneficial owners of the limited liability partnership-(a) the date on which the notice requiring such information was issued; and (b) the particulars of the information received from the person. (5) If a limited liability partnership has reasonable grounds to believe that a change has occurred to the particulars of a beneficial owner of the limited liability partnership that are stated in the register of beneficial owners of the limited liability partnership, the limited liability partnership shall give notice to the beneficial owner of the limited liability partnership-(a) to confirm whether or not the change has occurred; and (b) if the change has occurred-(i) to state the date of the change; and (ii) to provide the particulars of the change. (6) If a limited liability partnership has reasonable grounds to believe that any of the particulars of a beneficial owner of the limited liability partnership that are stated in the register of beneficial owners of the limited liability partnership might be incorrect, the limited liability partnership shall give notice to the beneficial owner of the limited liability partnership to confirm whether the particulars are correct, and if not, to provide the correct particulars. (7) A limited liability partnership and every partner and compliance officer who contravene subsection (1), (2), (3), (4), (5) or (6) commit an offence. (8) Any person who contravenes any notice under this section commits an offence unless the person proves that the information in question was already in the possession of the limited liability partnership or that the requirement to give the information was for any other reason that is frivolous or vexatious. (9) Any person who in purported compliance with any notice under this section makes any statement which he knows to be false or recklessly makes any false statement commits an offence. Duty of beneficial owner of limited liability partnership to provide information"
PART IIIA: BENEFICIAL OWNERSHIP,to provide information,Section 20D,"(1) A person who has reason to believe that he is a beneficial owner of a limited liability partnership shall, as soon as practicable-(a) notify the limited liability partnership that he is a beneficial owner of the limited liability partnership; and (b) provide information as may be prescribed. (2) A person who is a beneficial owner of a limited liability partnership shall notify the limited liability partnership of any changes in his particulars in the register of beneficial owners of the limited liability partnership. (3) A person who has ceased to be a beneficial owner of a limited liability partnership shall notify the limited liability partnership, as soon as practicable, of the change by stating-(a) the date the cessation occurred; and (b) the particulars of the cessation. (4) Any person who contravenes this section commits an offence. Exemption from this Part"
PART IIIA: BENEFICIAL OWNERSHIP,Exemption from this Part,Section 20E,"The Minister may, by order published in the Gazette, exempt any class of limited liability partnerships from the application of this Part either unconditionally or subject to such terms as the Minister may impose, if such limited liability partnerships are subject to any requirements under any other written laws similar to this Part. . Amendment of section 27"
PART IIIA: BENEFICIAL OWNERSHIP,Amendment of section 27,Section 5,"Paragraph 27(7)(a) of the principal Act is amended by substituting for the words  sections 17, 19 and 20  the words sections 17, 19, 20, 20C and 20D . Amendment of Part VII"
PART IIIA: BENEFICIAL OWNERSHIP,Amendment of Part VII,Section 6,"The title of Part VII of the principal Act is amended by inserting before the word  WINDING-UP  the words CORPORATE VOLUNTARY ARRANGEMENT, JUDICIAL MANAGEMENT, . New sections 49A and 49B"
PART IIIA: BENEFICIAL OWNERSHIP,New sections 49A and 49B,Section 7,The principal Act is amended by inserting after section 49 the following sections: Corporate voluntary arrangement and judicial management
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 49A,"(1) Except for sections 395 and 403 and paragraph 1 of the Eighth Schedule, the provisions of Division 8 of Rescue Mechanism) Rules 2018 (P.U. (A) 64/2018) shall apply to the voluntary arrangement and judicial management of a limited liability partnership subject to such modifications and adaptations as may be necessary, and in particular the following modifications: (a) references to a  company  shall be taken as references to a limited liability partnership; (b) references to a  constitution  shall be taken as references to a partnership agreement; (c) references to a  director  or to a  member of a company shall be taken as references to a partner of a limited liability partnership; (d) references to a  resolution  of a company shall be taken as references to a determination or decision of a limited liability partnership; and (e) references to  shares  of any member of a company shall be taken as references to the interest of any partner of a limited liability partnership. (2) Where a meeting of a limited liability partnership is summoned following the application of section 399 of the Companies Act 2016 to the voluntary arrangement of a limited liability partnership, the meeting shall be conducted-(a) in accordance with partnership agreement; and (b) in the absence of any provision relating to voting of a resolution in the partnership agreement, in accordance with paragraph 8 of the Second Schedule to the Act. Protection for essential goods and services"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Protection for essential goods and services,Section 49B,"(1) Subject to subsection (2), an insolvency related clause in any contract for the supply of essential goods and services shall not be exercised against any limited liability partnership. (2) A supplier who wishes to exercise his rights pursuant to an insolvency related clause in a contract shall communicate his intention of preserving his rights under the insolvency related clause to the limited liability partnership in writing at least thirty days before exercising his rights pursuant to the insolvency related clause in accordance with the contract. (3) This section shall not prevent a supplier from exercising his any other rights, including right to payment for essential goods and services provided to a limited liability partnership, under a contract for supply of essential goods and services. (4) For the purposes of this section-(a)  insolvency related clause  means a term of contract which-(i) allows the automatic termination of a contract of essential goods and services or supply of essential goods and services, modification of rights between a supplier and a limited liability partnership under the contract merely because the limited liability partnership becomes subject to the proceedings in relation to a voluntary arrangement or a judicial management; or (ii) allows a supplier to terminate a contract of essential goods and services or supply of essential goods and services, enforce any rights or vary any obligations under a contract merely because the limited liability partnership becomes subject to the proceedings in relation to a voluntary arrangement or a judicial management; (b)  essential goods and services  means essential goods and services specified in the Fourth Schedule. . New section 70A"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,New section 70A,Section 8,The principal Act is amended by inserting after section 70 the following section: Time for compliance with the requirements under the Act
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Time for compliance with the requirements under the Act,Section 70A,"If any action or document is required in compliance with this Act and the period for compliance is not prescribed, the time to comply shall be within thirty days from the action or document is required to be complied with. . Substitution of section 76"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Substitution of section 76,Section 9,The principal Act is amended by substituting for section 76 the following section: Service of documents on a limited liability partnership
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Service of documents on a limited liability partnership,Section 76,"A document may be served on a limited liability partnership-(a) by ordinary or registered post to its last known registered office or registered principal place of business, as the case may be; or (b) by electronic means to the address or numbers provided by the limited liability partnership. . New section 76A"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,New section 76A,Section 10,The principal Act is amended by inserting after section 76 the following section: Publication or advertisement on website
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Publication or advertisement on website,Section 76A,"Where any information is required to be published or advertised in a newspaper under this Act, any person may, in lieu of publishing or advertising the information in a newspaper, publish or advertise the information on the website of the Commission in the form and manner as the Registrar may determine upon payment of the prescribed fee. . Amendment of section 91"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Amendment of section 91,Section 11,"Subsection 91(1) of the principal Act is amended-(a) by inserting after paragraph (a) the following paragraph: (aa) any person or class of persons who may access the register of beneficial owners or the beneficial ownership information, the manner and the terms and conditions for accessing such register; ; and (b) by inserting after paragraph (b) the following paragraph: (ba) any matters relating to a corporate voluntary arrangement, judicial management, liquidation and receivership; . New Schedule"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,New Schedule,Section 12,The principal Act i s amended by inserting after the Third Schedule the following schedule: FOURTH SCHEDULE (Subsection 49B(4)) TYPES OF ESSENTIAL GOODS AND SERVICES
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,TYPES OF ESSENTIAL GOODS AND SERVICES,Section 1,Supply of water
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 2,Supply of electricity
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 3,Supply of gas
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 4,Point of sales terminals
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 5,Computer hardware and software
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 6,"Information, advice and technical assistance in connection with the use of information technology"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,use of information technology,Section 7,Data storage and processing
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 8,Website hosting . Saving
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Saving,Section 13,"Any investigation, trial, proceedings or action pending before the date of coming into operation of this Act shall, on the date of coming into operation of this Act, be continued in accordance with the provisions of the principal Act as if the principal Act had not been amended by this Act."
